"disease","chiefdom","PHU","pop","epiweek","fyo","cas","dth"
"Sever Pneumonia","Kholifa Rowalla","CHP Mabom","9999","2015-43","o","6",""
"Sever Pneumonia","Kholifa Rowalla","CHP Mabom","9999","2015-43","u","18",""
"Sever Pneumonia","Kalansogoia","CHC Bumbuna","9999","2015-43","o","3",""
"Sever Pneumonia","Kalansogoia","CHC Bumbuna","9999","2015-43","u","",""
"Sever Pneumonia","Kalansogoia","MCHP Bassaia","9999","2015-43","o","",""
"Sever Pneumonia","Kalansogoia","MCHP Bassaia","9999","2015-43","u","1",""
"Sever Pneumonia","Kunike ","CHP Mamansosanka","9999","2015-43","o","2",""
"Sever Pneumonia","Kunike ","CHP Mamansosanka","9999","2015-43","u","4","1"
"Sever Pneumonia","Kunike ","MCHP Petifuline","9999","2015-43","o","",""
"Sever Pneumonia","Kunike ","MCHP Petifuline","9999","2015-43","u","1",""
"Sever Pneumonia","Gbonkolenken","Lion Heart Hospital","9999","2015-43","o","5",""
"Sever Pneumonia","Gbonkolenken","Lion Heart Hospital","9999","2015-43","u","15",""
"Sever Pneumonia","Gbonkolenken","CHC Mayepoh","9999","2015-43","o","6",""
"Sever Pneumonia","Gbonkolenken","CHC Mayepoh","9999","2015-43","u","12","1"
"Sever Pneumonia","Gbonkolenken","MCHP Mafay","9999","2015-43","o","3",""
"Sever Pneumonia","Gbonkolenken","MCHP Mafay","9999","2015-43","u","8",""
"Sever Pneumonia","Gbonkolenken","MCHP Warrima","9999","2015-43","o","3",""
"Sever Pneumonia","Gbonkolenken","MCHP Warrima","9999","2015-43","u","5",""
"Sever Pneumonia","Yoni","CHC  Mathoir","9999","2015-43","o","",""
"Sever Pneumonia","Yoni","CHC  Mathoir","9999","2015-43","u","1",""
"Typhoid Fever","Kalansogoia","CHC Bumbuna","9999","2015-43","o","8",""
"Typhoid Fever","Kalansogoia","CHC Bumbuna","9999","2015-43","u","",""
"Typhoid Fever","Gbonkolenken","Lion Heart Hospital","9999","2015-43","o","10",""
"Typhoid Fever","Gbonkolenken","Lion Heart Hospital","9999","2015-43","u","3",""
"Typhoid Fever","Yoni","CHC  Mathoir","9999","2015-43","o","2",""
"Typhoid Fever","Yoni","CHC  Mathoir","9999","2015-43","u","",""
" Malaria cases","Kholifa Rowalla","MCHP UFC Magburaka","9999","2015-43","o","",""
" Malaria cases","Kholifa Rowalla","MCHP UFC Magburaka","9999","2015-43","u","147",""
